id,x,y,cluster,weight<Links>,weight<Total link strength>,label,score<AI2015>,Weight<AICount2015>,score<AI2016>,Weight<AICount2016>,score<AI2017>,Weight<AICount2017>,score<AI2018>,Weight<AICount2018>,score<AI2019>,Weight<AICount2019>,score<AI2020>,Weight<AICount2020>,score<AI2021>,Weight<AICount2021>,score<AI2022>,Weight<AICount2022>,score<AI2023>,Weight<AICount2023>,score<AI2024>,Weight<AICount2024>
A61K,0.9641,-0.2041,3,630,12935138,PREPARATIONS FOR MEDICAL. DENTAL OR TOILETRY PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000;chemical aspects of. or use of materials for deodorisation of air. for disinfection or sterilisation. or for bandages. dressings. absorbent pads or surgical articles A61L;soap compositions C11D),32,32,29,29,86,86,86,86,104,104,171,171,154,154,122,122,127,127,65,65
A61L,0.3987,-0.178,2,627,1733401,METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION. STERILISATION OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES. DRESSINGS. ABSORBENT PADS OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES. DRESSINGS. ABSORBENT PADS OR SURGICAL ARTICLES (preservation of bodies or disinfecting characterised by the agents employed A01N;preserving. e.g. sterilising. food or foodstuffs A23;preparations for medical. dental or toiletry purposes A61K),30,30,68,68,103,103,138,138,131,131,1057,1057,928,928,740,740,420,420,124,124
A61M,0.1041,-0.1964,2,613,1425675,DEVICES FOR INTRODUCING MEDIA INTO. OR ONTO. THE BODY (introducing media into or onto the bodies of animals A61D0007000000; means for inserting tampons A61F0013260000; devices for administering food or medicines orally A61J; containers for collecting. storing or administering blood or medical fluids A61J0001050000); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L; magnetotherapy using magnetic elements placed within the body A61N0002100000); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR,127,127,201,201,220,220,236,236,274,274,512,512,612,612,636,636,574,574,280,280
A61N,-0.0884,-0.3203,1,572,588847,ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B;surgical instruments. devices or methods for transferring non-mechanical forms of energy to or from the body A61B0018000000;anaesthetic apparatus in general A61M;incandescent lamps H01K;infrared radiators for heating H05B),142,142,147,147,279,279,256,256,367,367,428,428,448,448,426,426,352,352,186,186
A61P,1.0969,-0.2047,3,568,8946797,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS,7,7,15,15,27,27,28,28,37,37,84,84,60,60,66,66,78,78,40,40
A61Q,1.0454,-0.2794,3,501,1621019,SPECIFIC USE OF COSMETICS OR SIMILAR TOILETRY PREPARATIONS,2,2,2,2,5,5,11,11,4,4,7,7,10,10,2,2,5,5,5,5
A62B,-0.2108,-0.1059,6,569,210383,DEVICES. APPARATUS OR METHODS FOR LIFE-SAVING (valves specially adapted for medical use A61M0039000000;composition of chemical substances used in respirators. gas-masks. breathing apparatus or the like A62D;rescuing from mountains or trees A63B0027000000. A63B0029000000;life-saving devices. apparatus or methods specially adapted for use in water B63C0009000000;divers' equipment B63C0011000000;specially adapted for use with aircraft. e.g. parachutes or ejector seats. B64D;rescue devices peculiar to mining E21F0011000000),19,19,36,36,69,69,59,59,77,77,117,117,90,90,80,80,78,78,47,47
A62C,-0.2118,0.2796,6,588,231356,FIRE-FIGHTING (fire-extinguishing compositions. use of chemical substances in extinguishing fires A62D0001000000;spraying. applying liquids or other fluent materials to surfaces in general B05;fire-fighting aircraft B64D0001160000;alarm arrangements G08B. e.g. fire alarms actuated by smoke or gases G08B0017100000),119,119,262,262,479,479,617,617,677,677,922,922,891,891,670,670,681,681,304,304
A62D,0.816,0.1702,3,492,135412,CHEMICAL MEANS FOR EXTINGUISHING FIRES; PROCESSES FOR MAKING HARMFUL CHEMICAL SUBSTANCES HARMLESS. OR LESS HARMFUL. BY EFFECTING A CHEMICAL CHANGE; COMPOSITION OF MATERIALS FOR COVERINGS OR CLOTHING FOR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS; COMPOSITION OF MATERIALS FOR TRANSPARENT PARTS OF GAS-MASKS. RESPIRATORS. BREATHING BAGS OR HELMETS; COMPOSITION OF CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS,0,0,1,1,0,0,2,2,3,3,0,0,3,3,5,5,0,0,1,1
A63B,-0.5206,-0.2344,6,605,360584,APPARATUS FOR PHYSICAL TRAINING. GYMNASTICS. SWIMMING. CLIMBING. OR FENCING; BALL GAMES; TRAINING EQUIPMENT (apparatus for passive exercising. massage A61H),176,176,313,313,413,413,547,547,508,508,567,567,613,613,588,588,487,487,243,243
A63C,-0.4048,-0.1527,6,504,69404,SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS. RINKS OR THE LIKE (water skis B63B0032000000. B63B0034000000),14,14,9,9,4,4,6,6,9,9,11,11,6,6,15,15,17,17,6,6
A63D,-0.8399,-0.4318,6,329,11563,BOWLING GAMES. e.g. SKITTLES. BOCCE OR BOWLS; INSTALLATIONS THEREFOR; BAGATELLE OR SIMILAR GAMES; BILLIARDS (balls A63B0037000000),1,1,5,5,4,4,16,16,12,12,3,3,7,7,3,3,4,4,6,6
A63F,-0.9013,-0.3018,1,538,338977,CARD. BOARD OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR,179,179,254,254,407,407,442,442,598,598,736,736,704,704,712,712,600,600,232,232
A63G,-0.8474,-0.0023,6,408,39803,MERRY-GO-ROUNDS; SWINGS; ROCKING-HORSES (swings or rocking horses as nursery furniture A47D0013100000); CHUTES; SWITCHBACKS; SIMILAR DEVICES FOR PUBLIC AMUSEMENT,8,8,14,14,12,12,44,44,46,46,24,24,16,16,11,11,18,18,3,3
A63H,-0.7008,-0.2128,6,586,158636,TOYS. e.g. TOPS. DOLLS. HOOPS OR BUILDING BLOCKS,268,268,450,450,520,520,469,469,470,470,327,327,273,273,211,211,171,171,73,73
A63J,-0.8053,-0.1334,6,381,24544,DEVICES FOR THEATRES. CIRCUSES. OR THE LIKE; CONJURING APPLIANCES OR THE LIKE,18,18,11,11,8,8,8,8,17,17,24,24,8,8,7,7,12,12,2,2
A63K,-0.6664,-0.2286,6,229,4667,RACING; RIDING SPORTS; EQUIPMENT OR ACCESSORIES THEREFOR (stop watches G04F0007060000;timing G07C0001220000;indicating arrangements for variable information by selection or combination of individual elements G09F0009000000),0,0,1,1,0,0,5,5,5,5,1,1,1,1,0,0,1,1,0,0
A99Z,-0.3119,-0.1702,1,69,134,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
B01B,0.8056,0.4549,3,355,13851,BOILING; BOILING APPARATUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
