id	x	y	cluster	weight<Links>	weight<Total link strength>
F17B	0.2239	0.5477	4	235	3845
F17C	0.1182	0.4863	4	556	251399
F17D	0.0844	0.4866	4	551	147034
F21H	-0.0987	0.4984	7	88	911
F21K	-0.6545	-0.0792	1	469	224693
F21L	-0.6315	0.0091	1	458	117845
F21S	-0.5379	-0.0052	1	575	1403622
F21V	-0.4911	-0.0315	1	629	2133952
F21W	-0.6536	-0.011	1	517	547723
F21Y	-0.5943	-0.0563	1	555	1130326
F22B	0.5489	0.8994	7	535	226994
F22D	0.6117	1.0428	7	352	56183
F22G	0.645	1.115	7	296	26265
F23B	0.8811	1.1224	7	322	46796
F23C	0.6901	0.9695	7	458	184833
F23D	0.5193	0.8567	7	555	237660
F23G	0.799	0.8315	7	505	256232
F23H	0.9319	1.1494	7	243	18438
F23J	0.7362	0.8859	7	475	235646
F23K	0.6771	0.9414	7	456	108228
F23L	0.7383	1.0261	7	424	157529
F23M	0.7029	1.0454	7	411	73818
F23N	0.4659	0.9118	7	459	156567
F23Q	0.213	0.7426	7	503	77492
F23R	0.3462	1.0706	4	352	85178
F24B	0.718	0.9313	7	401	36941
F24C	0.3308	0.4897	7	551	315035
F24D	0.2495	0.678	7	544	278103
F24F	0.074	0.4378	7	618	752030
F24H	0.4012	0.7393	7	588	362444
F24S	-0.0447	0.5404	7	505	181957
F24T	0.2308	0.8963	7	232	12755
F24V	0.5061	0.4374	7	365	22340
F25B	0.2082	0.619	7	591	594477
F25C	0.5085	0.3734	7	462	54876
F25D	0.2163	0.2912	7	612	499529
F25J	0.6522	0.6247	3	396	82869
F26B	0.5985	0.0066	3	610	533187
F27B	0.6478	0.5811	7	557	408049
F27D	0.6093	0.5961	7	543	503107
F28B	0.5971	0.8684	7	425	48254
F28C	0.6484	0.7738	7	437	73329
F28D	0.408	0.6887	7	589	616546
F28F	0.4083	0.6716	7	580	636495
F28G	0.6035	0.7871	7	395	59768
F41A	-1.0023	0.3795	8	475	72959
F41B	-0.8476	0.2208	8	440	30509
F41C	-1.0652	0.3428	8	361	32212
F41F	-1.0275	0.4992	8	348	29438
F41G	-1.0147	0.2314	8	371	74941
F41H	-0.557	0.0578	8	524	90509
F41J	-1.0412	0.1234	8	373	21598
F42B	-0.5959	0.4812	8	566	147273
F42C	-0.7199	0.6033	8	393	41156
F42D	-0.4356	0.6153	8	424	45890
F99Z	-0.7826	0.4141	8	18	19
G01B	-0.3575	-0.031	1	634	1261296
G01C	-0.7458	0.043	1	586	994348
G01D	-0.5676	0.0072	1	624	951307
G01F	-0.139	0.2031	1	609	511261
G01G	-0.2898	-0.0311	1	599	189052
G01H	-0.7238	0.0643	1	522	179524
G01J	-0.3917	-0.0704	1	602	518968
G01K	-0.3541	0.1026	1	611	380606
G01L	-0.4071	0.1103	1	616	534079
G01M	-0.3818	0.2155	1	613	756384
G01N	0.151	-0.0513	1	646	5322130
G01P	-0.6309	0.1247	1	589	422506
G01Q	-0.2339	-0.2031	1	328	78225
G01R	-0.6211	-0.0112	1	619	1534140
G01S	-0.796	0.018	1	605	1171520
G01T	-0.2284	-0.1412	1	500	203841
G01V	-0.538	0.0477	1	596	405291
G01W	-0.8034	0.047	1	420	83485
G02B	-0.3439	-0.1938	1	632	3262560
G02C	0.025	-0.4095	2	503	270009
G02F	-0.4382	-0.2626	1	567	1747816
G03B	-0.5036	-0.3118	1	615	1239450
G03C	0.1582	-0.5222	2	544	345919
G03D	-0.2238	-0.6338	2	418	58420
G03F	-0.0602	-0.4456	2	548	1131102
G03G	-0.2565	-0.4871	2	561	811534
G03H	-0.5844	-0.5011	1	385	100519
G04B	-0.9688	-0.299	1	507	128168
G04C	-1.1712	-0.2526	1	436	128338
G04D	-0.8846	-0.2709	1	306	15942
G04F	-1.1089	-0.2011	1	459	66223
G04G	-1.1865	-0.294	1	438	190350
G04R	-1.4664	-0.3041	1	189	25754
G05B	-0.3581	0.0399	1	637	1115856
G05D	-0.2762	0.2734	4	639	1172640
G05F	-0.9258	0.0476	1	511	253200
G05G	-0.6358	0.3601	4	554	213226
G06C	-0.9549	-0.4042	1	384	19262
G06D	-0.8086	0.2822	4	180	2253
G06E	-1.0542	-0.3679	1	210	18144
G06F	-0.7075	-0.1932	1	646	7552400
G06G	-0.9966	-0.1915	1	518	120612
G06J	-1.264	-0.2472	1	174	11636
G06K	-0.6651	-0.3048	1	617	2374256
G06M	-0.6364	-0.2565	1	516	70205
G06N	-0.7816	-0.2148	1	595	1537466
G06Q	-0.7252	-0.194	1	628	2768090
G06T	-0.6745	-0.245	1	603	2493859
G06V	-0.8041	-0.2255	1	563	983504
G07B	-0.9749	-0.3463	1	388	156445
G07C	-0.826	-0.1246	1	561	597429
G07D	-0.7344	-0.4813	1	440	211770
G07F	-0.7688	-0.306	1	548	595675
G07G	-0.9989	-0.3952	1	347	129553
G08B	-0.6065	-0.015	1	625	1139428
G08C	-0.8253	-0.0631	1	571	529096
G08G	-0.8665	0.0397	1	473	859358
G09B	-0.839	-0.2854	1	608	551174
G09C	-1.222	-0.3839	1	308	164148
G09D	-0.9913	-0.5425	1	257	7950
G09F	-0.4187	-0.2884	1	628	1390113
G09G	-0.7592	-0.3042	1	526	1103260
G10B	-1.6891	-0.614	1	171	9075
G10C	-1.5354	-0.5755	1	280	14429
G10D	-1.3062	-0.5364	1	407	26073
G10F	-1.4595	-0.5305	1	277	11180
G10G	-1.4077	-0.5358	1	304	34318
G10H	-1.4383	-0.5033	1	372	107233
G10K	-0.7496	-0.1235	1	614	367059
G10L	-1.1499	-0.3017	1	475	571789
G11B	-0.6066	-0.2645	1	613	1266274
G11C	-0.8013	-0.2611	1	523	714206
G12B	-0.6687	0.0003	1	524	121772
G16B	0.2819	-0.3906	1	268	162044
G16C	-0.4729	-0.3292	1	398	51090
G16H	-0.5887	-0.373	1	437	514651
G16Y	-1.0714	-0.1587	1	403	69188
