id,x,y,cluster,weight<Links>,weight<Total link strength>,label
B21J,0.0736,0.2418,5,510,176324,FORGING; HAMMERING; PRESSING METAL; RIVETING; FORGE FURNACES (rolling of metal B21B;making particular products by forging or pressing B21K;cladding or plating B23K;finishing surfaces by hammering B23P0009040000;compacting surfaces by blasting with particulate material B24C0001100000;general features of presses. presses for consolidating scrap B30B;furnaces in general F27)
B21K,0.0337,0.2774,5,483,143178,MAKING FORGED OR PRESSED METAL PRODUCTS. e.g. HORSE-SHOES. RIVETS. BOLTS OR WHEELS (making particular articles by working sheet metal without essentially removing material B21D;processing wire B21F;making pins. needles or nails B21G;making particular articles by rolling B21H;forging machines. pressing machines. hammering machines. in general B21J;making chains B21L;plating B23K)
B21L,-0.1483,0.0293,5,221,8041,MAKING METAL CHAINS (making chains or chain links by casting B22D0025020000;chains in general F16G)
B22C,0.4067,0.306,5,539,162977,FOUNDRY MOULDING (moulding refractory materials in general B28B)
B22D,0.315,0.3397,5,584,487460,CASTING OF METALS; CASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICES (shaping of plastics or substances in a plastic state B29C;metallurgical processing. selection of substances to be added to metal C21. C22)
B22F,0.2715,0.148,5,582,686747,WORKING METALLIC POWDER; MANUFACTURE OF ARTICLES FROM METALLIC POWDER; MAKING METALLIC POWDER (making alloys by powder metallurgy C22C); APPARATUS OR DEVICES SPECIALLY ADAPTED FOR METALLIC POWDER
B23B,0.0274,0.0312,5,575,459249,TURNING; BORING (using an electrode which takes the place of a tool B23H. e.g. making holes B23H0009140000;working by laser beam B23K0026000000;arrangements for copying or controlling B23Q)
B23C,0.0894,-0.0088,5,474,144053,MILLING (broaching B23D;broach-milling in making gears B23F;arrangements for copying or controlling B23Q)
B23D,0.1403,-0.116,5,559,326605,PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL. NOT OTHERWISE PROVIDED FOR (making toothed gears or the like B23F;cutting metal by applying heat locally B23K;arrangements for copying or controlling B23Q)
B23F,0.0339,0.1591,5,346,33677,MAKING GEARS OR TOOTHED RACKS (by stamping B21D;by rolling B21H;by forging or pressing B21K;by casting B22;arrangements for copying or controlling B23Q;machines or devices for grinding or polishing. in general B24B)
